# 六脉神剑 / 缠论策略回测标的池 —— 500 只
#
# 选取口径：全市场（沪深主板/创业板/科创板，剔 ST）**随机抽样** 500 只，种子 20260920；
# 剔除 ST/退市、北交所（新浪日线接口不支持）。
# 生成命令：`python scripts/build_pool.py --n 500 --mode random --seed 20260920`
#
# 一行一只：`代码 名称`（代码用新浪格式 sh/sz + 6 位，名称仅作注释）。
#
# ⚠️ 这不是「股票池推荐」，只是为策略评估凑样本量的**回测样本**。
# 池子构成与后续涨跌**无关**，是评价择时策略的公正样本；
# 对比 `pool_liquid500.txt`（按成交额选，含前视选择偏差）。

sz301169 零点有数
sz301170 锡南科技
sz301173 毓恬冠佳
sz301217 铜冠铜箔
sz301233 盛帮股份
sz301262 海看股份
sz301267 华厦眼科
sz301269 华大九天
sz301272 英华特
sz301291 明阳电气
sz301300 远翔新材
sz301308 江波龙
sz301332 德尔玛
sz301339 通行宝
sz301365 矩阵股份
sz301372 科净源
sz301390 经纬股份
sz301396 宏景科技
sz301468 博盈特焊
sz301486 致尚科技
sz301538 骏鼎达
sz301567 贝隆精密
sz301577 美信科技
sz301578 辰奕智能
sz301600 慧翰股份
sz301628 强达电路
sz301630 同宇新材
sh600000 浦发银行
sh600032 浙江新能
sh600038 中直股份
sh600116 三峡水利
sh600123 兰花科创
sh600155 华创云信
sh600163 中闽能源
sh600183 生益科技
sh600186 莲花控股
sh600188 兖矿能源
sh600218 全柴动力
sh600230 沧州大化
sh600237 铜峰电子
sh600246 万通发展
sh600307 酒钢宏兴
sh600316 洪都航空
sh600320 振华重工
sh600366 宁波韵升
sh600400 红豆股份
sh600405 动力源
sh600419 天润乳业
sh600425 青松建化
sh600467 好当家
sh600483 福能股份
sh600486 扬农化工
sh600517 国网英大
sh600521 华海药业
sh600525 长园集团
sh600526 菲达环保
sh600527 江南高纤
sh600549 厦门钨业
sh600556 天下秀
sh600570 恒生电子
sh600575 淮河能源
sh600579 中化装备
sh600630 龙头股份
sh600675 中华企业
sh600681 百川能源
sh600684 珠江股份
sh600737 中粮糖业
sh600741 华域汽车
sh600743 华远控股
sh600755 厦门国贸
sh600756 浪潮软件
sh600763 通策医疗
sh600771 广誉远
sh600777 新潮能源
sh600846 同济科技
sh600858 银座股份
sh600861 北京人力
sh600867 通化东宝
sh600869 远东股份
sh600903 贵州燃气
sh600919 江苏银行
sh600967 内蒙一机
sh600979 广安爱众
sh600996 贵广网络
sh601016 节能风电
sh601065 江盐集团
sh601077 渝农商行
sh601099 太平洋
sh601133 柏诚股份
sh601158 重庆水务
sh601166 兴业银行
sh601169 北京银行
sh601186 中国铁建
sh601216 君正集团
sh601233 桐昆股份
sh601328 交通银行
sh601366 利群股份
sh601375 中原证券
sh601555 东吴证券
sh601577 长沙银行
sh601588 北辰实业
sh601698 中国卫通
sh601702 华峰铝业
sh601828 美凯龙
sh601890 亚星锚链
sh603009 北特科技
sh603010 万盛股份
sh603030 全筑股份
sh603052 可川科技
sh603053 成都燃气
sh603092 德力佳
sh603101 汇嘉时代
sh603106 恒银科技
sh603109 神驰机电
sh603118 共进股份
sh603119 浙江荣泰
sh603135 中重科技
sh603136 天目湖
sh603150 万朗磁塑
sh603153 上海建科
sh603160 汇顶科技
sh603170 宝立食品
sh603179 新泉股份
sh603188 亚邦股份
sh603200 上海洗霸
sh603216 梦天家居
sh603220 中贝通信
